Attraction ID,Parent Site ID,Site Name (English),Name (English),Name (Localized),Description (English),Description (Localized),Location Guide (English) 'NULLABLE',Location Guide (Localized) 'NULLABLE',Type,Historical Periods (comma-separated),Latitude 'NULLABLE',Longitude 'NULLABLE',Is Featured?
ATTR-246,SITE-316,Alexandria Bibliotheca,History of Science Museum,متحف تاريخ العلوم,"An engaging museum tracing the development of science from antiquity to the modern age, with emphasis on Arab and Egyptian contributions to mathematics, astronomy, and medicine.",متحف شيق يتتبع تطور العلوم من العصور القديمة حتى العصر الحديث، مع التركيز على الإسهامات العربية والمصرية في الرياضيات والفلك والطب.,"Lower level of the main Bibliotheca Alexandrina building, eastern section.",المستوى السفلي بالمبنى الرئيسي لمكتبة الإسكندرية، القسم الشرقي.,MuseumHall,Modern Era,31.2089,29.9094,FALSE
ATTR-247,SITE-316,Alexandria Bibliotheca,Calligraphy Center,مركز فن الخط العربي,"A cultural center celebrating the art of Arabic calligraphy, offering exhibitions of masterworks and workshops for visitors interested in the craft.",مركز ثقافي يحتفي بفن الخط العربي، ويقدم معارض للأعمال الفنية المتميزة وورش عمل للزوار المهتمين بهذا الفن.,"Ground floor of the Bibliotheca Alexandrina, northern wing near the main entrance.",الطابق الأرضي لمكتبة الإسكندرية، الجناح الشمالي بالقرب من المدخل الرئيسي.,MuseumHall,"Islamic, Modern Era",31.2088,29.9093,FALSE
ATTR-248,SITE-317,Alexandria National Museum,Underwater Archaeology Hall,قاعة الآثار تحت الماء,"A spectacular hall dedicated to artifacts recovered from Alexandria's submerged royal quarters and harbors, including colossal statues and anchors.",قاعة رائعة مخصصة للقطع الأثرية المستخرجة من الأحياء الملكية الغارقة وموانئ الإسكندرية، تشمل تماثيل ضخمة ومراسي.,"Ground floor of the Alexandria National Museum, first hall from the main entrance.",الطابق الأرضي بالمتحف الوطني للإسكندرية، أول قاعة من المدخل الرئيسي.,MuseumHall,"Ptolemaic, Roman",31.2009,29.9173,TRUE
ATTR-249,SITE-317,Alexandria National Museum,Pharaonic Artifacts Floor,طابق الآثار الفرعونية,"An entire floor showcasing ancient Egyptian pharaonic artifacts including statues, stelae, and funerary objects spanning thousands of years of civilization.",طابق كامل يعرض القطع الأثرية الفرعونية المصرية القديمة بما فيها التماثيل واللوحات الحجرية ومقتنيات الدفن على مدى آلاف السنين من الحضارة.,Second floor of the Alexandria National Museum.,الطابق الثاني بالمتحف الوطني للإسكندرية.,MuseumHall,"PreDynastic, OldKingdom, MiddleKingdom, NewKingdom",31.2009,29.9172,TRUE
ATTR-250,SITE-317,Alexandria National Museum,Greco-Roman Antiquities Floor,طابق الآثار اليونانية الرومانية,"A floor displaying the rich cultural fusion of Alexandria's Hellenistic and Roman periods, featuring portrait busts, mosaic fragments, and religious objects.",طابق يعرض الاندماج الثقافي الغني في الفترتين الهلنستية والرومانية في الإسكندرية، يتضمن تماثيل نصفية وأجزاء فسيفساء ومقتنيات دينية.,Third floor of the Alexandria National Museum.,الطابق الثالث بالمتحف الوطني للإسكندرية.,MuseumHall,"Ptolemaic, Roman",31.201,29.9172,FALSE
ATTR-251,SITE-317,Alexandria National Museum,Coptic and Islamic Artifacts Floor,طابق الآثار القبطية والإسلامية,"A culturally rich floor presenting Coptic Christian and Islamic artifacts, including textiles, ceramics, manuscripts, and religious art from Alexandria's medieval history.",طابق غني ثقافياً يقدم آثاراً قبطية مسيحية وإسلامية، بما فيها المنسوجات والخزف والمخطوطات والفن الديني من تاريخ الإسكندرية في العصور الوسطى.,Fourth floor of the Alexandria National Museum.,الطابق الرابع بالمتحف الوطني للإسكندرية.,MuseumHall,"Byzantine, Islamic",31.2009,29.9173,FALSE
ATTR-252,SITE-317,Alexandria National Museum,Modern Alexandria History Gallery,قاعة تاريخ الإسكندرية الحديث,"A gallery tracing Alexandria's transformation from the 19th to 20th century, celebrating its cosmopolitan identity, notable residents, and pivotal modern events.",قاعة تتتبع تحولات الإسكندرية من القرن التاسع عشر إلى القرن العشرين، وتحتفي بهويتها الكوزموبوليتانية وسكانها البارزين وأحداثها الحديثة المهمة.,Top floor of the Alexandria National Museum.,الطابق الأعلى بالمتحف الوطني للإسكندرية.,MuseumHall,Modern Era,31.201,29.9173,FALSE
ATTR-253,SITE-318,Serapeum of Alexandria,Pompey's Pillar,عمود السواري,"A towering 30-meter red Aswan granite column, one of the largest ancient monolithic columns in existence, erroneously named after Pompey but likely erected in honor of Emperor Diocletian.",عمود ضخم من الجرانيت الأحمر الأسواني يبلغ ارتفاعه 30 متراً، وهو من أكبر الأعمدة الضخمة القديمة الموجودة، وأُطلق عليه خطأً اسم عمود بومبي لكنه على الأرجح أُقيم تكريماً للإمبراطور دقلديانوس.,Center of the Serapeum archaeological site in the Kom el-Shuqafa district.,مركز الموقع الأثري للسيرابيوم في حي كوم الشقافة.,Ruins,Roman,31.1876,29.899,TRUE
ATTR-254,SITE-318,Serapeum of Alexandria,Underground Serapis Sanctuary,مقدس سيرابيس تحت الأرض,"The subterranean sanctuary of the god Serapis, featuring rock-cut passages and niches where sacred objects and scrolls were once stored beneath the great temple.",المقدس السفلي للإله سيرابيس، يضم ممرات ومتخصصات منحوتة في الصخر كانت تُخزَّن فيها المقتنيات المقدسة والبرديات تحت المعبد الكبير.,"Beneath the main archaeological plateau of the Serapeum site, accessed via carved stairway.",تحت الهضبة الأثرية الرئيسية لموقع السيرابيوم، ويُصل إليه عبر سلم منحوت.,Religious,"Ptolemaic, Roman",31.1875,29.8989,TRUE
ATTR-255,SITE-318,Serapeum of Alexandria,Sphinx Statues,تماثيل أبو الهول,"A pair of ancient sphinx statues flanking the approach to the Serapeum, originally from pharaonic Egypt and repurposed during the Ptolemaic period to guard the sacred enclosure.",زوج من تماثيل أبو الهول القديمة تقف على جانبي المدخل للسيرابيوم، وهي في الأصل من مصر الفرعونية وأُعيد استخدامها في العصر البطلمي لحراسة الحرم المقدس.,Entrance path to the Serapeum archaeological site.,مسار المدخل إلى الموقع الأثري للسيرابيوم.,Statue,"PreDynastic, Ptolemaic",31.1877,29.8991,FALSE
ATTR-256,SITE-318,Serapeum of Alexandria,Temple Foundation Ruins,أطلال أساسات المعبد,"The exposed stone foundations of the once-magnificent Temple of Serapis, one of the most celebrated sanctuaries of the ancient world, destroyed in 391 AD.",الأساسات الحجرية المكشوفة لمعبد سيرابيس الرائع كان يُعدّ من أشهر المعابد في العالم القديم ودُمِّر عام 391 م.,Scattered across the elevated plateau of the Serapeum archaeological site.,منتشرة على الهضبة المرتفعة للموقع الأثري للسيرابيوم.,Ruins,"Ptolemaic, Roman",31.1876,29.8988,FALSE
ATTR-257,SITE-318,Serapeum of Alexandria,Roman-Era Cisterns,صهاريج العصر الروماني,"Underground cisterns of Roman construction discovered beneath the Serapeum hill, once supplying water to the temple complex and surrounding district.",صهاريج تحت الأرض من الإنشاء الروماني اكتُشفت تحت تل السيرابيوم، كانت توفر المياه لمجمع المعبد والمنطقة المحيطة به.,"Below the Serapeum archaeological mound, accessible from the site perimeter.",تحت تل السيرابيوم الأثري، يمكن الوصول إليها من محيط الموقع.,Ruins,Roman,31.1875,29.899,FALSE
ATTR-258,SITE-319,Catacombs of Kom El Shoqafa,Hall of Caracalla,قاعة كركلا,"A large chamber associated with Emperor Caracalla's visit to Alexandria in 215 AD, believed to contain the mass burial remains of victims from his notorious massacre.",حجرة كبيرة مرتبطة بزيارة الإمبراطور كركلا للإسكندرية عام 215 م، يُعتقد أنها تحتوي على بقايا دفن جماعي لضحايا مجزرته الشهيرة.,"Upper level of the Catacombs of Kom El Shoqafa, near the entrance rotunda.",المستوى العلوي بسراديب كوم الشقافة، بالقرب من الردهة الدائرية للمدخل.,Tomb,Roman,31.1855,29.896,FALSE
ATTR-259,SITE-319,Catacombs of Kom El Shoqafa,Triclinium Banquet Hall,قاعة تريكلينيوم للولائم,"A Roman-style banquet hall where mourners once gathered for funerary feasts in honor of the deceased, with carved stone benches lining the walls.",قاعة وليمة على الطراز الروماني كان المعزون يجتمعون فيها لإقامة ولائم الجنازة تكريماً للمتوفى، مع مقاعد حجرية منحوتة تصطف على الجدران.,"Second level of the catacombs, adjacent to the main tomb chamber.",المستوى الثاني من السراديب، بجوار غرفة الدفن الرئيسية.,Tomb,Roman,31.1854,29.8959,FALSE
ATTR-260,SITE-319,Catacombs of Kom El Shoqafa,Main Tomb Chamber,غرفة الدفن الرئيسية,"The principal burial chamber of the catacombs, adorned with remarkable reliefs blending Egyptian, Greek, and Roman artistic styles in a unique funerary synthesis.",حجرة الدفن الرئيسية في السراديب، مزينة بنقوش رائعة تمزج بين الأساليب الفنية المصرية واليونانية والرومانية في تركيب جنائزي فريد.,"Deepest level of the Catacombs of Kom El Shoqafa, central chamber.",أعمق مستوى في سراديب كوم الشقافة، الحجرة المركزية.,Tomb,Roman,31.1855,29.8958,TRUE
ATTR-261,SITE-319,Catacombs of Kom El Shoqafa,Rotunda and Spiral Staircase,الردهة الدائرية والسلم الحلزوني,"The dramatic circular entrance rotunda and three-story spiral staircase that descend into the catacombs, originally used to lower the dead on ropes.",الردهة الدائرية الدرامية للمدخل والسلم الحلزوني ذو الثلاثة طوابق الذي يهبط إلى السراديب، وكان يُستخدم في الأصل لإنزال الموتى بالحبال.,"Entrance area of the Catacombs of Kom El Shoqafa, above ground level.",منطقة المدخل في سراديب كوم الشقافة، فوق مستوى الأرض.,Tomb,Roman,31.1856,29.8961,TRUE
ATTR-262,SITE-319,Catacombs of Kom El Shoqafa,Funerary Niches Gallery,قاعة كوات الدفن,"A gallery of rock-cut loculi (burial niches) lining the corridor walls of the catacombs, designed to hold the mummified remains of dozens of individuals.",قاعة من كوات الدفن المنحوتة في الصخر (اللوكولي) تصطف على جدران الممرات في السراديب، وصُمِّمت لاحتضان رفات عشرات الأفراد المحنطة.,"Second and third levels of the catacombs, along the corridor passages.",المستويان الثاني والثالث من السراديب، على طول الممرات.,Tomb,Roman,31.1854,29.896,FALSE
ATTR-263,SITE-319,Catacombs of Kom El Shoqafa,Anubis and Sobek Relief Carvings,نقوش أنوبيس وسوبك,"Striking carved reliefs depicting the Egyptian gods Anubis and Sobek in Roman military attire, exemplifying the fascinating cultural syncretism of Alexandria.",نقوش بارزة تصور الإلهين المصريين أنوبيس وسوبك في زي عسكري روماني، مما يجسد الازدواجية الثقافية الرائعة في الإسكندرية.,Main tomb chamber walls at the lowest level of the Catacombs of Kom El Shoqafa.,جدران غرفة الدفن الرئيسية في المستوى الأسفل من سراديب كوم الشقافة.,Tomb,Roman,31.1855,29.8958,TRUE
ATTR-264,SITE-320,Catacombs of Mostafa Kamel,Four Rock-Cut Tombs,الأضرحة الأربعة المنحوتة في الصخر,"A cluster of four Macedonian-style tombs carved into the bedrock, representing a rare example of Hellenistic funerary architecture in Alexandria.",مجموعة من أربعة أضرحة على الطراز المقدوني منحوتة في الصخر الأساسي، تمثل مثالاً نادراً للعمارة الجنائزية الهلنستية في الإسكندرية.,Central area of the Catacombs of Mostafa Kamel archaeological site in eastern Alexandria.,المنطقة المركزية لموقع مقابر مصطفى كامل الأثري في شرق الإسكندرية.,Tomb,Ptolemaic,31.229,29.968,TRUE
ATTR-265,SITE-320,Catacombs of Mostafa Kamel,Painted Funerary Chambers,حجرات الدفن المزخرفة,"Burial chambers decorated with vivid Macedonian-style painted friezes depicting floral motifs, hunting scenes, and mythological subjects in well-preserved pigments.",حجرات دفن مزينة بإفريزات مرسومة بألوان زاهية على الطراز المقدوني تصور دوافع زهرية ومشاهد صيد وموضوعات أسطورية بأصباغ محفوظة جيداً.,Inside the rock-cut tombs of the Mostafa Kamel catacombs.,داخل الأضرحة المنحوتة في الصخر في مقابر مصطفى كامل.,Tomb,Ptolemaic,31.2291,29.9681,FALSE
ATTR-266,SITE-320,Catacombs of Mostafa Kamel,Greek Inscriptions Wall,جدار النقوش اليونانية,A wall bearing Greek dedicatory and funerary inscriptions that identify the tombs' occupants and provide insight into the Macedonian community of ancient Alexandria.,جدار يحمل نقوشاً يونانية تكريسية وجنائزية تُعرِّف بأصحاب الأضرحة وتلقي الضوء على المجتمع المقدوني في الإسكندرية القديمة.,Northern wall of the main courtyard in the Mostafa Kamel catacombs site.,الجدار الشمالي للفناء الرئيسي في موقع مقابر مصطفى كامل.,Ruins,Ptolemaic,31.229,29.9682,FALSE
ATTR-267,SITE-320,Catacombs of Mostafa Kamel,Open Courtyard Atrium,الفناء المفتوح,"A spacious open-air atrium carved into the rock, serving as the communal gathering space and transitional zone between the outside world and the underground burial chambers.",فناء فسيح مفتوح على الهواء منحوت في الصخر، يعمل كمساحة تجمع مجتمعية ومنطقة انتقالية بين العالم الخارجي وحجرات الدفن تحت الأرض.,"Entrance level of the Mostafa Kamel catacombs, before descending to the burial chambers.",مستوى المدخل في مقابر مصطفى كامل، قبل النزول إلى حجرات الدفن.,Ruins,Ptolemaic,31.2289,29.968,FALSE
ATTR-268,SITE-321,Antoniades Palace,Italian-Style Garden,الحديقة على الطراز الإيطالي,"Formally laid-out gardens in the Italian Renaissance style, featuring symmetrical pathways, sculpted hedges, and classical fountains surrounding the Antoniades Palace.",حدائق مرتبة رسمياً على طراز النهضة الإيطالية، تضم مسارات متناسقة وسياجات منحوتة ونوافير كلاسيكية تحيط بقصر أنطونيادس.,Surrounding the Antoniades Palace building in the Nouzha Gardens district.,تحيط بمبنى قصر أنطونيادس في منطقة حدائق النزهة.,nature,Modern Era,31.2031,29.9643,TRUE
ATTR-269,SITE-321,Antoniades Palace,Greek Mythology Statues,تماثيل الأساطير الإغريقية,"A collection of classical marble and stone statues depicting figures from Greek mythology, scattered throughout the palace gardens as decorative and cultural landmarks.",مجموعة من التماثيل الرخامية والحجرية الكلاسيكية التي تصور شخصيات من الأساطير اليونانية، منتشرة في جنبات حدائق القصر كمعالم زخرفية وثقافية.,Throughout the garden grounds of Antoniades Palace.,منتشرة في أرجاء حدائق قصر أنطونيادس.,Statue,Modern Era,31.2032,29.9644,FALSE
ATTR-270,SITE-321,Antoniades Palace,Palace Main Hall,القاعة الرئيسية للقصر,"The grand reception hall of Antoniades Palace, featuring neoclassical architectural details, high ceilings, and ornate decorations reflecting Alexandria's cosmopolitan aristocracy.",القاعة الاستقبالية الفخمة لقصر أنطونيادس، تتميز بتفاصيل معمارية كلاسيكية جديدة وأسقف مرتفعة وزخارف رائعة تعكس الأرستقراطية الكوزموبوليتانية في الإسكندرية.,Ground floor of the Antoniades Palace main building.,الطابق الأرضي للمبنى الرئيسي لقصر أنطونيادس.,historical,Modern Era,31.203,29.9643,FALSE
ATTR-271,SITE-321,Antoniades Palace,Ornamental Fountains,النوافير الزخرفية,"Elaborately designed stone and marble fountains positioned at key vistas within the palace gardens, adding classical elegance to the landscape.",نوافير حجرية ورخامية ذات تصميم متقن موضوعة في مناظر رئيسية داخل حدائق القصر، تضفي أناقة كلاسيكية على المشهد الطبيعي.,Multiple locations throughout the Antoniades Palace garden grounds.,مواقع متعددة في أرجاء حدائق قصر أنطونيادس.,nature,Modern Era,31.2031,29.9645,FALSE
ATTR-272,SITE-321,Antoniades Palace,Zoo and Botanical Garden Area,منطقة حديقة الحيوانات والنباتات,"A combined zoological and botanical garden area adjacent to the palace, housing a variety of animals and rare plant species as part of the Nouzha Gardens complex.",منطقة حديقة حيوانات ونباتات مشتركة مجاورة للقصر، تضم مجموعة متنوعة من الحيوانات وأنواع نادرة من النباتات كجزء من مجمع حدائق النزهة.,Eastern section of the Antoniades Palace and Nouzha Gardens complex.,القسم الشرقي من مجمع قصر أنطونيادس وحدائق النزهة.,nature,Modern Era,31.2033,29.9646,FALSE
ATTR-273,SITE-322,Montaza Palace,Al-Haramlik Palace,قصر الحرملك,"The main residential palace of the Egyptian royal family at Montaza, blending Florentine and Moorish architectural styles with stunning sea views.",القصر السكني الرئيسي للأسرة المالكة المصرية في المنتزه، يمزج بين الأساليب المعمارية الفلورنسية والمورية مع إطلالات رائعة على البحر.,"Center of the Montaza Palace grounds, overlooking the Mediterranean Sea.",مركز أراضي قصر المنتزه، يطل على البحر المتوسط.,historical,Modern Era,31.2906,30.0063,TRUE
ATTR-274,SITE-322,Montaza Palace,Al-Salamlek Palace,قصر السلاملك,"The smaller royal guesthouse palace at Montaza, originally built for the Austro-Hungarian Empress's visit, now converted into a luxury hotel.",قصر استضافة ملكي صغير في المنتزه، بُني في الأصل لزيارة الإمبراطورة النمساوية المجرية، وتحول الآن إلى فندق فاخر.,Northwestern corner of the Montaza Palace grounds near the gardens.,الزاوية الشمالية الغربية لأراضي قصر المنتزه بالقرب من الحدائق.,historical,Modern Era,31.2912,30.0058,FALSE
ATTR-275,SITE-322,Montaza Palace,Montaza Royal Gardens,حدائق المنتزه الملكية,"Vast and beautifully landscaped public gardens surrounding the Montaza Palace, featuring ancient trees, flower beds, and scenic pathways along the Mediterranean shore.",حدائق عامة واسعة وجميلة التنسيق تحيط بقصر المنتزه، تضم أشجاراً قديمة وأحواض زهور ومسارات خلابة على طول شاطئ البحر المتوسط.,Surrounding the Montaza Palace complex along the seafront in eastern Alexandria.,تحيط بمجمع قصر المنتزه على الواجهة البحرية في شرق الإسكندرية.,nature,Modern Era,31.2908,30.006,TRUE
ATTR-276,SITE-322,Montaza Palace,Private Royal Beach,الشاطئ الملكي الخاص,"An exclusive sandy beach reserved for the royal family and now partially accessible to visitors, set within the scenic Montaza gardens along the Mediterranean coastline.",شاطئ رملي حصري كان مخصصاً للأسرة المالكة وأصبح الآن جزء منه متاحاً للزوار، يقع داخل حدائق المنتزه الخلابة على ساحل البحر المتوسط.,"Below the Montaza Palace gardens, directly on the Mediterranean coastline.",تحت حدائق قصر المنتزه، مباشرة على ساحل البحر المتوسط.,historical,Modern Era,31.29,30.007,FALSE
ATTR-277,SITE-322,Montaza Palace,Montaza Lighthouse,منارة المنتزه,"A picturesque lighthouse standing at the tip of the Montaza peninsula, adding a romantic and navigational landmark to the palace's Mediterranean setting.",منارة خلابة تقف عند طرف شبه جزيرة المنتزه، تضيف معلماً رومانسياً وملاحياً إلى محيط القصر على البحر المتوسط.,At the far eastern tip of the Montaza Palace peninsula.,عند الطرف الشرقي البعيد لشبه جزيرة قصر المنتزه.,historical,Modern Era,31.2915,30.0075,FALSE
ATTR-278,SITE-322,Montaza Palace,Corniche Promenade,كورنيش المنتزه,"A scenic seaside walkway along the Montaza coastline offering sweeping views of the Mediterranean, popular with families and couples alike.",ممشى بحري خلاب على طول ساحل المنتزه يوفر إطلالات واسعة على البحر المتوسط، محبوب لدى العائلات والأزواج على حد سواء.,Along the waterfront edge of the Montaza Palace public gardens.,على طول حافة الواجهة البحرية لحدائق قصر المنتزه العامة.,nature,Modern Era,31.2905,30.0065,FALSE
ATTR-279,SITE-323,Sidi Morsi Abu al Abbas Mosque,Main Prayer Hall,قاعة الصلاة الرئيسية,"The vast and ornate main prayer hall of the Sidi Morsi Abu al-Abbas Mosque, richly decorated with elaborate arabesques, marble columns, and splendid chandeliers.",قاعة الصلاة الرئيسية الواسعة والمزخرفة لمسجد سيدي مرسي أبو العباس، مزينة بشكل غني بالزخارف المعقدة والأعمدة الرخامية والثريات الرائعة.,"Interior of the main mosque building in Anfoushi district, Alexandria.",داخل مبنى المسجد الرئيسي في حي الأنفوشي، الإسكندرية.,Mosque,"Islamic, Modern Era",31.2043,29.8874,TRUE
ATTR-280,SITE-323,Sidi Morsi Abu al Abbas Mosque,Shrine of Abu al-Abbas al-Mursi,ضريح أبو العباس المرسي,"The sacred shrine of the Andalusian Sufi saint Abu al-Abbas al-Mursi, a revered place of pilgrimage for Muslims visiting Alexandria.",ضريح الولي الصوفي الأندلسي المقدس أبو العباس المرسي، مكان حج مبجل للمسلمين الزائرين للإسكندرية.,"Central area of the mosque complex, directly beneath the main dome.",المنطقة المركزية لمجمع المسجد، مباشرة تحت القبة الرئيسية.,Mosque,Islamic,31.2043,29.8874,TRUE
ATTR-281,SITE-323,Sidi Morsi Abu al Abbas Mosque,Central Dome,القبة المركزية,"The magnificent central dome of the mosque, soaring above the prayer hall and decorated inside with intricate Islamic geometric patterns and calligraphic inscriptions.",القبة المركزية الرائعة للمسجد، التي تعلو قاعة الصلاة وتزين داخلها بأنماط هندسية إسلامية معقدة ونقوش خطية.,Crowning the central nave of the Sidi Morsi Abu al-Abbas Mosque.,تتوج الجناح المركزي لمسجد سيدي مرسي أبو العباس.,Mosque,"Islamic, Modern Era",31.2043,29.8874,FALSE
ATTR-282,SITE-323,Sidi Morsi Abu al Abbas Mosque,Ornate Minarets,المآذن المزخرفة,"Four towering minarets adorning the mosque complex, featuring tiered balconies and ornate stone carvings that define the Alexandria skyline near the harbor.",أربع مآذن شاهقة تزين مجمع المسجد، تتميز بشرفات متدرجة ونقوش حجرية رائعة تحدد أفق الإسكندرية بالقرب من الميناء.,Four corners of the Sidi Morsi Abu al-Abbas Mosque exterior.,الزوايا الأربع لواجهة مسجد سيدي مرسي أبو العباس.,Mosque,"Islamic, Modern Era",31.2043,29.8874,FALSE
ATTR-283,SITE-323,Sidi Morsi Abu al Abbas Mosque,Islamic Calligraphy Decorations,الزخارف والكتابات الإسلامية,"Exquisite Quranic verses and religious texts rendered in fine Arabic calligraphy decorating the interior walls, arches, and ceilings throughout the mosque.",آيات قرآنية كريمة ونصوص دينية مكتوبة بخط عربي جميل تزين الجدران الداخلية والأقواس والأسقف في أرجاء المسجد.,Throughout the interior walls and architectural surfaces of the mosque.,في جميع أرجاء الجدران الداخلية والأسطح المعمارية للمسجد.,Mosque,Islamic,31.2043,29.8874,FALSE
ATTR-284,SITE-324,Alexandria Ancient Roman Theater,Marble Seating Tiers,مدرجات الجلوس الرخامية,"The well-preserved curved marble seating tiers of the only Roman theater discovered in Egypt, originally accommodating hundreds of spectators for performances and civic events.",مدرجات الجلوس الرخامية المنحنية المحفوظة جيداً للمسرح الروماني الوحيد المكتشف في مصر، كانت في الأصل تستوعب مئات المتفرجين للعروض والأحداث المدنية.,Central area of Kom el-Dikka archaeological site in central Alexandria.,المنطقة المركزية للموقع الأثري كوم الدكة في وسط الإسكندرية.,Ruins,Roman,31.1976,29.9119,TRUE
ATTR-285,SITE-324,Alexandria Ancient Roman Theater,Stage and Orchestra Area,منطقة المسرح والأوركسترا,"The semicircular orchestra and stage area of the Roman theater, where performers once entertained audiences in this ancient civic entertainment space.",منطقة الأوركسترا نصف الدائرية والمسرح في المسرح الروماني، حيث كان الفنانون يرفهون عن الجماهير في هذا الفضاء الترفيهي المدني القديم.,At the base of the seating tiers in Kom el-Dikka Roman Theater.,عند قاعدة مدرجات الجلوس في مسرح كوم الدكة الروماني.,Ruins,Roman,31.1976,29.9118,FALSE
ATTR-286,SITE-324,Alexandria Ancient Roman Theater,Mosaic Flooring,أرضيات الفسيفساء,"Colorful ancient mosaic floors uncovered adjacent to the theater, featuring geometric and figural patterns that decorated the Roman civic buildings of Alexandria.",أرضيات فسيفساء قديمة ملونة مكتشفة بجوار المسرح، تتميز بأنماط هندسية وتصويرية كانت تزين المباني المدنية الرومانية في الإسكندرية.,Adjacent to the main theater seating at Kom el-Dikka archaeological site.,بجوار مقاعد المسرح الرئيسية في الموقع الأثري كوم الدكة.,Ruins,Roman,31.1977,29.912,FALSE
ATTR-287,SITE-324,Alexandria Ancient Roman Theater,Roman Baths Ruins,أطلال الحمامات الرومانية,"The excavated remains of an extensive Roman bath complex near the theater, revealing the sophisticated hydrological engineering of Roman Alexandria.",بقايا مكشوفة من مجمع الحمامات الرومانية الواسع بالقرب من المسرح، تكشف عن هندسة الري المتطورة في الإسكندرية الرومانية.,Northern section of Kom el-Dikka archaeological site.,القسم الشمالي للموقع الأثري كوم الدكة.,Ruins,Roman,31.1978,29.9119,FALSE
ATTR-288,SITE-324,Alexandria Ancient Roman Theater,Villa of the Birds Mosaic Site,موقع فيلا الطيور الفسيفسائية,"The site of an exquisite Roman villa featuring one of Egypt's finest mosaic floors depicting birds in naturalistic detail, now partially preserved on-site.",موقع فيلا رومانية رائعة تضم واحدة من أجمل أرضيات الفسيفساء في مصر تصور طيوراً بتفاصيل طبيعية، محفوظة جزئياً في الموقع الآن.,"Within the Kom el-Dikka archaeological site, southeastern section.",داخل الموقع الأثري كوم الدكة، القسم الجنوبي الشرقي.,Ruins,Roman,31.1975,29.9121,TRUE
ATTR-289,SITE-325,St Mark's Cathedral Alexandria,Main Cathedral Nave,صحن الكاتدرائية الرئيسي,"The soaring central nave of Saint Mark's Coptic Orthodox Cathedral, richly decorated with sacred imagery and offering a deeply spiritual atmosphere for worshippers and visitors.",الصحن المركزي الشاهق لكاتدرائية القديس مرقس القبطية الأرثوذكسية، مزين بشكل غني بالصور المقدسة ويوفر جواً روحياً عميقاً للمصلين والزوار.,"Interior center of Saint Mark's Cathedral in Cleopatra district, Alexandria.",المركز الداخلي لكاتدرائية القديس مرقس في حي كليوباترا، الإسكندرية.,Church,"Byzantine, Modern Era",31.2204,29.9551,TRUE
ATTR-290,SITE-325,St Mark's Cathedral Alexandria,Relics of Saint Mark Chapel,كنيسة رفات القديس مرقس,"A sacred chapel housing a portion of the relics of Saint Mark the Apostle, founder of the Coptic Church in Alexandria, returned from Venice in 1968.",كنيسة مقدسة تحتضن جزءاً من رفات القديس مرقس الرسول، مؤسس الكنيسة القبطية في الإسكندرية، عادت من البندقية عام 1968.,"Side chapel within Saint Mark's Cathedral, Alexandria.",كنيسة جانبية داخل كاتدرائية القديس مرقس، الإسكندرية.,Church,"Byzantine, Modern Era",31.2204,29.9551,TRUE
ATTR-291,SITE-325,St Mark's Cathedral Alexandria,Coptic Iconostasis,الأيقونسطاس القبطي,"The ornately carved wooden iconostasis separating the sanctuary from the nave, adorned with gilded Coptic icons depicting Christ, the Virgin Mary, and the saints.",الأيقونسطاس الخشبي المنحوت بشكل رائع يفصل المقدس عن الصحن، مزين بأيقونات قبطية مذهبة تصور المسيح والعذراء والقديسين.,At the altar end of the main nave in Saint Mark's Cathedral.,عند طرف المذبح في الصحن الرئيسي لكاتدرائية القديس مرقس.,Church,"Byzantine, Modern Era",31.2204,29.9551,FALSE
ATTR-292,SITE-325,St Mark's Cathedral Alexandria,Papal Throne Hall,قاعة الكرسي البابوي,"The formal hall housing the seat of the Coptic Pope, used for ceremonial occasions and official receptions during papal visits to Alexandria.",القاعة الرسمية التي تضم كرسي البابا القبطي، وتُستخدم للمناسبات الرسمية والاستقبالات الرسمية أثناء الزيارات البابوية للإسكندرية.,"Adjacent to the main cathedral building, accessible from the nave.",بجوار مبنى الكاتدرائية الرئيسي، ويمكن الوصول إليه من الصحن.,Church,Modern Era,31.2205,29.9552,FALSE
ATTR-293,SITE-325,St Mark's Cathedral Alexandria,Cathedral Bell Tower,برج الأجراس,"The distinctive bell tower of Saint Mark's Cathedral, a prominent landmark in the Alexandria skyline that rings to call the faithful to worship.",برج الأجراس المميز لكاتدرائية القديس مرقس، معلم بارز في أفق الإسكندرية يدق أجراسه لدعوة المؤمنين للعبادة.,Attached to the exterior of the main Saint Mark's Cathedral building.,ملحق بالواجهة الخارجية لمبنى كاتدرائية القديس مرقس الرئيسي.,Church,Modern Era,31.2203,29.955,FALSE
ATTR-294,SITE-326,Taposiris Magna,Temple of Osiris,معبد أوزيريس,"The ruins of a Ptolemaic temple dedicated to Osiris, central to the religious significance of Taposiris Magna and possibly linked to the legendary tomb of Cleopatra VII.",أطلال معبد بطلمي مخصص للإله أوزيريس، وهو محور الأهمية الدينية لطابوزيريس ماغنا وربما يرتبط بالقبر الأسطوري لكليوباترا السابعة.,"Central area of the Taposiris Magna archaeological site, west of Alexandria.",المنطقة المركزية للموقع الأثري طابوزيريس ماغنا، غرب الإسكندرية.,Religious,Ptolemaic,30.9635,29.5166,TRUE
