Offer ID,Sponsor Name,Title (English),Title (Localized),Description (English),Description (Localized),Terms and Conditions (English) 'NULLABLE',Terms and Conditions (Localized) 'NULLABLE',Discount Amount 'NULLABLE',Discount Percentage 'NULLABLE',Start Validity Period,End Validity Period,Max Redemptions 'NULLABLE',PromoCode 'NULLABLE'
OFFER-109,Wings Tours & Nile Cruises,Group Tour Discount,خصم الجولات الجماعية,Groups of 8 or more booking any guided tour package receive 12% off the total price per person.,المجموعات المكونة من 8 أشخاص أو أكثر التي تحجز أي باقة جولة مرشدة تحصل على خصم 12% على السعر الإجمالي للفرد.,Minimum 8 passengers in one booking. Group leader travels free for groups of 15+.,الحد الأدنى 8 ركاب في حجز واحد. قائد المجموعة يسافر مجاناً للمجموعات التي تضم 15 شخصاً أو أكثر.,,12%,01/05/2026,31/12/2026,40,WINGS-GRP
OFFER-110,La Guitaih Travel Agency,Summer Holiday Package,باقة عطلة الصيف,Book any summer holiday package before August 31 and receive 10% off the total package price.,احجز أي باقة عطلة صيفية قبل 31 أغسطس واحصل على خصم 10% على السعر الإجمالي.,Valid for new bookings only. Cannot be combined with other promotions.,ساري للحجوزات الجديدة فقط. لا يمكن دمجه مع عروض أخرى.,,10%,01/05/2026,31/08/2026,120,LG-SUMR
OFFER-111,La Guitaih Travel Agency,Family Package Deal,عرض باقة العائلة,Families of 4 or more enjoy 15% off any domestic or international travel package.,العائلات المكونة من 4 أشخاص أو أكثر تستمتع بخصم 15% على أي باقة سفر محلية أو دولية.,Minimum 2 adults and 2 children (under 12). Child age proof may be required.,الحد الأدنى بالغان واثنان من الأطفال (أقل من 12 عاماً). قد يُطلب إثبات عمر الطفل.,,15%,01/05/2026,30/09/2026,80,LG-FAM
OFFER-112,Balbaa Village,Grill Night Special,عرض ليلة الشواء,Enjoy 15% off all grilled meat dishes every Tuesday and Wednesday evening at Balbaa Village.,استمتع بخصم 15% على جميع أطباق اللحوم المشوية كل مساء الثلاثاء والأربعاء في قرية بلبع.,Valid Tue & Wed evenings only (6 PM onwards). Dine-in only.,ساري مساء الثلاثاء والأربعاء فقط (من 6 م). للجلوس فقط.,,15%,01/05/2026,30/09/2026,400,BALB-GRILL
OFFER-113,Balbaa Village,Seafood Feast Offer,عرض وليمة المأكولات البحرية,Get 20% off on all fresh seafood dishes when ordering for a table of 4 or more.,احصل على خصم 20% على جميع أطباق المأكولات البحرية الطازجة عند الطلب لطاولة من 4 أشخاص أو أكثر.,Minimum 4 guests per table. Valid for dine-in only. Subject to daily catch availability.,الحد الأدنى 4 ضيوف للطاولة. للجلوس فقط. حسب توفر الصيد اليومي.,,20%,01/05/2026,31/12/2026,300,BALB-SEA
OFFER-114,Abou El Sid Restaurant,Oriental Dining Night,ليلة العشاء الشرقي,"Enjoy 15% off your total bill when ordering from our full oriental menu, available every evening.",استمتع بخصم 15% على إجمالي فاتورتك عند الطلب من قائمة الطعام الشرقي الكاملة، متاح كل مساء.,"Valid for dine-in only. Not valid on Valentine's Day, Eid, or other special event nights.",للجلوس فقط. غير ساري في عيد الحب والعيد أو ليالي الفعاليات الخاصة.,,15%,01/05/2026,31/12/2026,350,ABUSID-EVE
OFFER-115,Abou El Sid Restaurant,Signature Dish Deal,عرض الطبق المميز,Order any 2 signature dishes and receive a complimentary traditional Egyptian dessert.,اطلب أي طبقين مميزين واحصل على حلوى مصرية تقليدية مجانية.,One complimentary dessert per table. Dine-in only.,حلوى مجانية واحدة لكل طاولة. للجلوس فقط.,,15%,15/05/2026,15/10/2026,250,ABUSID-SIG
OFFER-116,Latino Cafe & Restaurant,Sea View Breakfast Offer,عرض الإفطار بإطلالة بحرية,Enjoy 20% off any breakfast order placed before 11 AM with a panoramic sea view.,استمتع بخصم 20% على أي طلب إفطار قبل 11 ص مع إطلالة بحرية بانورامية.,"Valid daily, 9 AM – 11 AM only. Dine-in only.",ساري يومياً من 9 ص إلى 11 ص فقط. للجلوس فقط.,,20%,01/05/2026,30/09/2026,500,LAT-BRK
OFFER-117,Latino Cafe & Restaurant,Shisha & Dinner Deal,عرض الشيشة والعشاء,Order any main course dinner and get 25% off a shisha of your choice.,اطلب أي طبق رئيسي للعشاء واحصل على خصم 25% على شيشة من اختيارك.,Valid from 7 PM onwards. One shisha discount per table. Dine-in only.,ساري من 7 م فصاعداً. خصم شيشة واحد لكل طاولة. للجلوس فقط.,,25%,01/05/2026,31/12/2026,400,LAT-SHSH
OFFER-118,Vinni Cafe & Deli,Work & Coffee Special,عرض العمل والقهوة,"Enjoy a free coffee refill with any breakfast or brunch order when dining in, perfect for remote workers.",استمتع بإعادة تعبئة قهوة مجانية مع أي طلب إفطار أو برانش عند الجلوس، مثالي للعمل عن بُعد.,One free refill per person per visit. Valid for filter coffee or Americano only.,إعادة تعبئة واحدة مجانية للشخص في كل زيارة. ساري للقهوة المفلترة أو الأمريكانو فقط.,,15%,01/05/2026,31/12/2026,600,VINNI-WFH
OFFER-119,Vinni Cafe & Deli,Deli Combo Saver,توفير كومبو ديلي,Get 20% off when you combine any deli sandwich with a hot or cold drink.,احصل على خصم 20% عند تجميع أي ساندويتش ديلي مع مشروب ساخن أو بارد.,,,,20%,15/05/2026,15/10/2026,700,VINNI-DELI
OFFER-120,Kadoura Seafood Restaurant,Fresh Catch Lunch Deal,عرض غداء الصيد الطازج,"Enjoy 10% off on all fresh fish orders placed between 12 PM and 4 PM, dine-in only.",استمتع بخصم 10% على جميع طلبات السمك الطازج بين 12 م و4 م، للجلوس فقط.,Valid for dine-in lunch only. Seafood subject to daily catch availability.,ساري لغداء الجلوس فقط. المأكولات البحرية حسب توفر الصيد اليومي.,,10%,01/05/2026,30/09/2026,400,KAD-LUNCH
OFFER-121,Kadoura Seafood Restaurant,Family Seafood Platter,طبق المأكولات البحرية العائلي,Tables of 5 or more receive a complimentary appetizer platter with any mixed seafood order.,الطاولات المكونة من 5 أشخاص أو أكثر تحصل على طبق مقبلات مجاني مع أي طلب مأكولات بحرية مشكلة.,Minimum 5 guests. Dine-in only. Appetizer selection at restaurant's discretion.,الحد الأدنى 5 ضيوف. للجلوس فقط. اختيار المقبلات حسب تقدير المطعم.,,10%,01/05/2026,31/12/2026,200,KAD-FAM
OFFER-122,Bent El-Sultan Restaurant,Nile View Dinner Discount,خصم عشاء بإطلالة على النيل,"Enjoy 15% off your total dinner bill while dining with a stunning Nile view, every day of the week.",استمتع بخصم 15% على إجمالي فاتورة العشاء مع إطلالة رائعة على النيل، كل أيام الأسبوع.,Valid for dinner service only (6 PM – 1 AM). Dine-in only.,ساري لخدمة العشاء فقط (6 م – 1 ص). للجلوس فقط.,,15%,01/05/2026,31/12/2026,300,BENT-DNNER
OFFER-123,Bent El-Sultan Restaurant,Weekend Brunch by the Nile,برانش عطلة نهاية الأسبوع على النيل,Get 20% off any brunch order on Fridays and Saturdays at Bent El-Sultan's Nile Lounge.,احصل على خصم 20% على أي طلب برانش أيام الجمعة والسبت في صالة بنت السلطان على النيل.,"Valid Fri & Sat, 9 AM – 3 PM. Dine-in only. Reservation recommended.",ساري الجمعة والسبت، 9 ص – 3 م. للجلوس فقط. يُنصح بالحجز المسبق.,,20%,01/05/2026,30/09/2026,250,BENT-WKD
OFFER-124,Andrea Restaurant Mohandeseen,Nile Terrace Dinner Special,عرض عشاء تراس النيل,"Enjoy 15% off all dinner orders on the Nile-facing terrace, available every evening.",استمتع بخصم 15% على جميع طلبات العشاء في تراس المطل على النيل، متاح كل مساء.,Terrace seating subject to availability. Valid for dine-in only.,جلسة التراس حسب التوفر. للجلوس فقط.,,15%,01/05/2026,31/12/2026,300,ANDR-TERR
OFFER-125,Andrea Restaurant Mohandeseen,Felucca & Dinner Package,باقة الفلوكة والعشاء,Book a private felucca ride + dinner for 2 and enjoy 20% off the combined package price.,احجز رحلة فلوكة خاصة وعشاء لشخصين واستمتع بخصم 20% على سعر الباقة المجمعة.,Advance booking required. Felucca ride duration minimum 1.5 hours. Weather-dependent.,الحجز المسبق مطلوب. مدة رحلة الفلوكة لا تقل عن 1.5 ساعة. يعتمد على الطقس.,,20%,01/05/2026,30/09/2026,100,ANDR-FELC
OFFER-126,Sheraton Cairo Hotel & Casino,Pyramid View Stay,إقامة بإطلالة على الأهرام,Book a Nile-view room and enjoy 15% off the room rate plus complimentary access to the rooftop bar.,احجز غرفة بإطلالة على النيل واستمتع بخصم 15% على سعر الغرفة مع دخول مجاني للبار على السطح.,Valid for new bookings only. Rooftop bar access valid during operating hours.,ساري للحجوزات الجديدة فقط. دخول بار السطح ساري خلال ساعات العمل.,,15%,01/05/2026,30/09/2026,100,SHER-CAI-VIEW
OFFER-127,Sheraton Cairo Hotel & Casino,Dining Pass for Non-Guests,تصريح طعام لغير المقيمين,Non-staying guests enjoy 20% off at any Sheraton Cairo dining outlet with advance reservation.,يستمتع الضيوف غير المقيمين بخصم 20% في أي مطعم من مطاعم شيراتون القاهرة مع حجز مسبق.,Advance reservation required. Valid for lunch and dinner only.,الحجز المسبق مطلوب. ساري للغداء والعشاء فقط.,,20%,01/05/2026,31/12/2026,200,SHER-CAI-DIN
OFFER-128,Hyatt Regency Cairo West,GEM Explorer Package,باقة مستكشف المتحف المصري الكبير,Stay 2 nights and receive complimentary shuttle service to the Grand Egyptian Museum plus 10% off your room rate.,أقم ليلتين واحصل على خدمة مكوك مجانية إلى المتحف المصري الكبير بالإضافة إلى خصم 10% على سعر الغرفة.,Shuttle service available once per stay per room. Subject to schedule availability.,خدمة المكوك متاحة مرة واحدة لكل إقامة لكل غرفة. حسب توفر الجدول الزمني.,,10%,01/05/2026,31/12/2026,80,HYATT-GEM
OFFER-129,Hyatt Regency Cairo West,Pyramids Weekend Deal,عرض عطلة نهاية أسبوع الأهرام,Book a Fri–Sat stay and receive 20% off the room rate including a guided pyramids tour for 2.,احجز إقامة الجمعة–السبت واحصل على خصم 20% على سعر الغرفة مع جولة مرشدة إلى الأهرامات لشخصين.,Tour includes Giza Pyramids and Sphinx. Booking must be made at least 5 days in advance.,الجولة تشمل أهرامات الجيزة وأبو الهول. يجب الحجز قبل 5 أيام على الأقل.,,20%,01/05/2026,30/09/2026,60,HYATT-PYR
OFFER-130,Mövenpick Resort Cairo Pyramids,Pyramid View Breakfast,إفطار بإطلالة على الأهرامات,Enjoy a complimentary buffet breakfast upgrade when booking any room with a pyramid view.,استمتع بترقية مجانية لإفطار البوفيه عند حجز أي غرفة بإطلالة على الأهرامات.,Subject to room availability. Valid for direct bookings only.,حسب توفر الغرف. ساري للحجوزات المباشرة فقط.,,15%,01/05/2026,31/12/2026,100,MPK-PYR-BRK
OFFER-131,Mövenpick Resort Cairo Pyramids,Pool & Dine Day Pass,تصريح يومي للمسبح والطعام,Non-staying guests can purchase a day pass including pool access and 15% off dining at the resort restaurants.,يمكن للضيوف غير المقيمين شراء تصريح يومي يشمل الوصول للمسبح وخصم 15% على الطعام في مطاعم المنتجع.,Day pass must be purchased in advance. Not valid on Fridays and public holidays.,يجب شراء التصريح اليومي مسبقاً. غير ساري أيام الجمعة والعطل الرسمية.,,15%,01/05/2026,30/09/2026,150,MPK-PASS
OFFER-132,Steigenberger Pyramids Cairo,Nightly Pyramid View Deal,عرض ليلي بإطلالة على الأهرامات,Book a room with pyramid view and enjoy 15% off plus a complimentary welcome drink upon arrival.,احجز غرفة بإطلالة على الأهرامات واستمتع بخصم 15% مع مشروب ترحيب مجاني عند الوصول.,Valid for direct bookings only. Welcome drink served at check-in only.,ساري للحجوزات المباشرة فقط. مشروب الترحيب يُقدم عند تسجيل الوصول فقط.,,15%,01/05/2026,31/12/2026,120,STBG-VIEW
OFFER-133,Steigenberger Pyramids Cairo,Museum & Stay Bundle,باقة المتحف والإقامة,Stay 2 nights and receive complimentary GEM entry tickets for 2 persons included in your booking.,أقم ليلتين واحصل على تذاكر دخول مجانية للمتحف المصري الكبير لشخصين مشمولة في حجزك.,GEM tickets subject to availability. Valid for new bookings only.,تذاكر المتحف حسب التوفر. ساري للحجوزات الجديدة فقط.,,10%,01/05/2026,30/09/2026,80,STBG-GEM
OFFER-134,Mena House Hotel,Historic Pyramids Stay,إقامة الأهرامات التاريخية,"Enjoy 15% off any room booking with a direct pyramids view, including daily breakfast for 2.",استمتع بخصم 15% على أي حجز غرفة بإطلالة مباشرة على الأهرامات، مع إفطار يومي لشخصين.,Valid for direct bookings only. Breakfast for 2 guests included per room per night.,ساري للحجوزات المباشرة فقط. إفطار لشخصين مشمول لكل غرفة في كل ليلة.,,15%,01/05/2026,30/09/2026,80,MENA-PYR
OFFER-135,Mena House Hotel,Landmark Dining Experience,تجربة طعام في موقع أثري,Non-staying guests enjoy 20% off lunch or dinner at Mena House's signature restaurant with a pyramid backdrop.,يستمتع الضيوف غير المقيمين بخصم 20% على الغداء أو العشاء في مطعم مينا هاوس المميز مع خلفية الأهرامات.,Reservation required. Valid for lunch (12–4 PM) and dinner (7–11 PM) only.,الحجز مطلوب. ساري للغداء (12–4 م) والعشاء (7–11 م) فقط.,,20%,01/05/2026,31/12/2026,150,MENA-DIN
OFFER-136,Kanzy Hotel Mohandeseen,Extended Stay Discount,خصم الإقامة الممتدة,"Stay 3 nights or more and enjoy 20% off the total room rate, including daily breakfast.",أقم 3 ليالٍ أو أكثر واستمتع بخصم 20% على إجمالي سعر الغرفة مع إفطار يومي.,Minimum 3 consecutive nights. Breakfast for registered guests only.,الحد الأدنى 3 ليالٍ متتالية. الإفطار للضيوف المسجلين فقط.,,20%,01/05/2026,31/12/2026,100,KNZY-3NT
OFFER-137,Kanzy Hotel Mohandeseen,Business Rate Weekday,سعر الأعمال أيام الأسبوع,Business travelers staying Sun–Thu enjoy 15% off the room rate with access to meeting room facilities.,المسافرون من رجال الأعمال المقيمون من الأحد إلى الخميس يستمتعون بخصم 15% على سعر الغرفة مع الوصول إلى مرافق غرف الاجتماعات.,Must present company ID or business card. Valid Sun–Thu only.,يجب تقديم بطاقة الشركة أو بطاقة العمل. ساري الأحد–الخميس فقط.,,15%,01/05/2026,31/12/2026,150,KNZY-BIZ
OFFER-138,Here Egypt Tours,Cairo Day Tour Discount,خصم جولة القاهرة اليومية,"Book any Cairo day tour (Pyramids, GEM, or Old Cairo) and enjoy 15% off the per-person rate.",احجز أي جولة يومية بالقاهرة (الأهرامات، المتحف المصري الكبير، أو القاهرة القديمة) واستمتع بخصم 15% على سعر الفرد.,Minimum 2 passengers. Advance booking required at least 48 hours prior.,الحد الأدنى راكبان. الحجز المسبق مطلوب قبل 48 ساعة على الأقل.,,15%,01/05/2026,31/12/2026,200,HERE-CAIRO
OFFER-139,Here Egypt Tours,Multi-Day Egypt Package,باقة مصر متعددة الأيام,Book any multi-day Egypt tour package (4 days or more) and receive 10% off the total price per person.,احجز أي باقة جولة مصرية متعددة الأيام (4 أيام أو أكثر) واحصل على خصم 10% على السعر الإجمالي للفرد.,"Minimum 4-day package. Discount applied to land arrangements only, excluding international flights.",الحد الأدنى باقة 4 أيام. الخصم ينطبق على الترتيبات البرية فقط، باستثناء الرحلات الدولية.,,10%,01/05/2026,30/09/2026,100,HERE-PKG
OFFER-140,Egypt Tours Portal,Custom Itinerary Discount,خصم الجدول السياحي المخصص,Book a fully customized Egypt tour itinerary and receive 12% off the total package price.,احجز جدولاً سياحياً مصرياً مخصصاً بالكامل واحصل على خصم 12% على السعر الإجمالي للباقة.,Minimum 5 days itinerary. Valid for bookings confirmed at least 30 days in advance.,الحد الأدنى جدول 5 أيام. ساري للحجوزات المؤكدة قبل 30 يوماً على الأقل.,,12%,01/05/2026,31/12/2026,80,ETP-CUSTOM
OFFER-141,Egypt Tours Portal,Nile Cruise & Tour Bundle,باقة رحلة النيل والجولة,Bundle a Nile cruise with a Cairo or Alexandria tour and enjoy 15% off the combined package price.,اجمع رحلة نيلية مع جولة القاهرة أو الإسكندرية واستمتع بخصم 15% على سعر الباقة المجمعة.,Both components must be booked together. Full payment required at booking.,يجب حجز كلا المكوّنين معاً. الدفع الكامل مطلوب عند الحجز.,,15%,01/05/2026,30/09/2026,60,ETP-NILE
OFFER-144,Visitors Egypt Tours,First-Time Visitor Offer,عرض الزيارة الأولى,First-time customers booking any Egypt tour receive 15% off their first package as a welcome discount.,العملاء الجدد الذين يحجزون أي جولة مصرية يحصلون على خصم 15% على باقتهم الأولى كخصم ترحيب.,Valid for new customers only. One-time use per customer. Cannot be combined with other offers.,ساري للعملاء الجدد فقط. استخدام لمرة واحدة لكل عميل. لا يمكن دمجه مع عروض أخرى.,,15%,01/05/2026,31/12/2026,200,VISIT-NEW
OFFER-145,Visitors Egypt Tours,Referral Reward Discount,خصم مكافأة الإحالة,Refer a friend who books any tour and both you and your friend receive EGP 200 off your next booking.,أحِل صديقاً يحجز أي جولة ويحصل كلاكما على خصم 200 جنيه على حجزك التالي.,"Referral must result in a confirmed, paid booking. Discount applied to next booking only.",يجب أن تؤدي الإحالة إلى حجز مؤكد ومدفوع. الخصم يُطبق على الحجز التالي فقط.,200,,01/05/2026,31/12/2026,300,VISIT-REF
OFFER-146,El Tekkia Restaurant,Hawawshi Night Special,عرض ليلة الحواوشي,Enjoy 20% off our signature hawawshi and grilled dishes every Tuesday and Wednesday evening.,استمتع بخصم 20% على الحواوشي المميزة وأطباق الشواء كل مساء الثلاثاء والأربعاء.,Valid Tue & Wed evenings only (6 PM onwards). Dine-in only.,ساري مساء الثلاثاء والأربعاء فقط (من 6 م). للجلوس فقط.,,20%,01/05/2026,30/09/2026,300,TEKK-HWSH
OFFER-147,El Tekkia Restaurant,Family Grill Platter Offer,عرض طبق شواء العائلة,Tables of 5 or more receive a complimentary soft drink round with any grilled family platter order.,الطاولات المكونة من 5 أشخاص أو أكثر تحصل على جولة مشروبات غازية مجانية مع أي طلب طبق شواء عائلي.,Minimum 5 guests. Dine-in only. One soft drink per person included.,الحد الأدنى 5 ضيوف. للجلوس فقط. مشروب غازي واحد مشمول لكل شخص.,,15%,01/05/2026,31/12/2026,250,TEKK-FAM
OFFER-148,Regency Pyramids Hotel,Pyramids Stay & Save,إقامة الأهرامات ووفّر,Book any room with a pyramid view and enjoy 20% off the room rate including daily breakfast.,احجز أي غرفة بإطلالة على الأهرامات واستمتع بخصم 20% على سعر الغرفة مع إفطار يومي.,Valid for direct bookings only. Breakfast for registered guests only.,ساري للحجوزات المباشرة فقط. الإفطار للضيوف المسجلين فقط.,,20%,01/05/2026,31/12/2026,100,REGP-PYR
OFFER-149,Regency Pyramids Hotel,GEM & Stay Package,باقة المتحف والإقامة,Stay 2 or more nights and receive complimentary shuttle transfers to and from the Grand Egyptian Museum.,أقم ليلتين أو أكثر واحصل على خدمة مكوك مجانية من وإلى المتحف المصري الكبير.,Shuttle service once per stay per room. Subject to availability and museum opening hours.,خدمة المكوك مرة واحدة لكل إقامة لكل غرفة. حسب التوفر وساعات عمل المتحف.,,10%,01/05/2026,30/09/2026,80,REGP-GEM
OFFER-150,Port Said Canal Cruise,Suez Canal Golden Tour,جولة قناة السويس الذهبية,Book two historic canal cruise tickets and get the third ticket completely free as a special holiday reward.,احجز تذكرتين للجولة البحرية التاريخية في القناة واحصل على التذكرة الثالثة مجاناً بالكامل كهدية للعطلات.,Must book all 3 tickets in the same trip. Lowest priced ticket is free.,يجب حجز جميع التذاكر الثلاث في نفس الرحلة. التذكرة الأقل سعراً تكون مجانية.,,100%,01/05/2026,01/12/2026,500,CRUISE3FOR2
OFFER-151,El-Gondolet Fish Restaurant,Seafood Feast Discount,خصم وليمة المأكولات البحرية,Order any family seafood platter and unlock a free premium hot seafood soup with your meal.,اطلب صينية مأكولات بحرية عائلية واحصل على شوربة سي فود ساخنة فاخرة مجاناً مع وجبتك.,Valid for dine-in only. Maximum 3 free soups per table order.,ساري للطلبات داخل المطعم فقط. بحد أقصى 3 شوربة مجانية لكل طاولة.,60,,01/05/2026,01/09/2026,300,FREECHOWDER
OFFER-159,Marsa Alam Diving Safari,Elphinstone Deep Dive,غوص أعماق إلفينستون,Purchase a bundle of 5 deep sea diving exploration trips and get the 6th dive completely free.,اشترِ باقة مكونة من 5 غطسات استكشافية في أعماق البحر واحصل على الغطسة السادسة مجاناً بالكامل.,Valid for a single licensed diver. Cannot be shared between multiple people.,ساري لغطاس مرخص واحد فقط. لا يمكن مشاركة الباقة بين عدة أفراد.,,100%,01/05/2026,01/11/2026,200,DIVING6FOR5
OFFER-160,Wadi El-Gemal Eco Camp,Desert Stars Trekking,ترحال نجوم وادي الجمال,Stay two nights in our eco-friendly safari tents and unlock a 50% discount on your consecutive third night.,اقض ليلتين في خيام السفاري البيئية واحصل على خصم 50% على ليلتك الثالثة المتتالية مع رصد النجوم.,Must be booked as 3 consecutive nights. Includes all daily activities.,يجب الحجز كـ 3 ليالٍ متتالية. يشمل جميع الأنشطة اليومية.,,50%,05/05/2026,05/12/2026,150,GEMAL50
OFFER-165,Mount Sinai Sunrise Tour,Holy Summit Trekking,ترحال القمة المقدسة,Book a guided night trek up Mount Sinai and enjoy a free traditional Bedouin mountain dinner package.,احصل على باقة عشاء بدوي جبلي تقليدي مجاناً عند حجز رحلة التسلق الليلي الإرشادية لجبل موسى.,Dinner served at the mountain base rest camp before the night hike begins.,يقدم العشاء في كامب الاستراحة عند قاعدة الجبل قبل بدء الصعود الليلي.,120,,01/05/2026,01/12/2026,400,SINAIDINNER
OFFER-166,Colored Canyon Safari Track,Nuweiba Canyon Adventure,مغامرة وديان نويبع,Book two 4x4 safari vehicles together for the Colored Canyon track and save 30% on the second vehicle.,احجز سيارتي سفاري 4x4 معاً لمسار الوادي الملون واحصل على خصم 30% على السيارة الثانية.,Both vehicles must be booked under the same name for the same time slot.,يجب حجز الكليتن باسم واحد ولنفس الفترة الزمنية.,,30%,15/05/2026,15/11/2026,250,CANYON30
OFFER-167,Catherine Mountain Lodge,St. Catherine High Altitude Eco-Stay,إقامة بيئية مرتفعة بسانت كاترين,Book a two-night stay at our high altitude mountain eco-lodge and get your consecutive third night free.,احصل على ليلتك الثالثة المتتالية مجاناً بالكامل عند حجز إقامة لليلتين في اللوج الجبلية البيئية.,Requires consecutive check-in days. Free night code applied automatically at checkout.,يتطلب أيام تسجيل وصول متتالية. يتم تطبيق كود الليلة المجانية تلقائياً عند المغادرة.,,100%,01/05/2026,01/03/2027,120,CATHERINE3
OFFER-168,Luxor West Bank Ferry,Ancient Thebes Nile Crossing,عبور نيل طيبة القديمة,Purchase a bundle of 5 West Bank motorboat ferry crossings and unlock 2 extra ferry passes for free.,اشترِ حزمة من 5 تذاكر عبور لمعدية البر الغربي بالمركب السريع واحصل على تذكرتين إضافيتين مجاناً.,Passes are valid for 14 days from the purchase date.,التذاكر سارية لمدة 14 يوماً من تاريخ الشراء.,20,,01/05/2026,01/06/2027,2000,FERRYPASS
OFFER-169,Valley of the Kings Tour Guides,Tombs of the Pharaohs Walk,جولة مقابر الفراعنة,Book historical guide services for 3 royal tombs together and get the 4th tomb guide service free.,احصل على خدمة الإرشاد للمقبرة الرابعة مجاناً عند حجز خدمات مرشد التاريخ لـ 3 مقابر ملكية معاً.,Excludes the entry ticket fee of the 4th tomb site.,لا يشمل رسوم تذكرة الدخول الخاصة بموقع المقبرة الرابعة.,,100%,05/05/2026,05/12/2026,350,TOMBS4FOR3
OFFER-171,Kato Dool Nubian Resort,Gharb Soheil Nubian Experience,تجربة غرب سهيل النوبية,Enjoy a 4-night traditional cultural stay in Gharb Soheil village and pay for only 3 nights.,استمتع بإقامة ثقافية تقليدية لمدة 4 ليالٍ في قرية غرب سهيل النوبية وادفع ثمن 3 ليالٍ فقط.,Promotion code must be added at the time of reservation. Lowest night rate is free.,يجب إضافة كود العرض عند الحجز. ليلة السعر الأقل تكون مجانية.,,100%,01/05/2026,01/06/2027,100,KATO4FOR3
OFFER-172,Philae Island Boat Taxi,Isis Temple Water Transit,نقل معبد إيزيس البحري,Book a round-trip motorboat transit to Philae Temple and receive 2 hours of island wait time free.,احصل على ساعتين وقت انتظار بالجزيرة مجاناً عند حجز مركب بمحرك رحلة ذهاب وعودة لمعبد فيلة.,Extra wait time beyond 2 hours will be charged at regular hourly rates.,وقت الانتظار الإضافي بعد الساعتين سيتم احتسابه بالأسعار العادية.,100,,10/05/2026,10/12/2026,500,PHILAEWAIT
OFFER-173,Aswan Nubian House Cafe,Nile Terrace Traditional Taste,المذاق التقليدي لتراس النيل,Spend 400 EGP on Nubian dinners and claim a premium traditional Karkadeh or Keshir hot drink free.,احصل على مشروب كركديه أو كشير نوبي ساخن مجاناً عند إنفاق 400 جنيه على وجبات العشاء التراثية.,One free drink per qualified minimum spending receipt.,مشروب مجاني واحد لكل فاتورة تحقق الحد الندنى المؤهل للإنفاق.,30,,01/05/2026,01/10/2026,400,ASWANDRINK
OFFER-174,Port Said Canal Cruise,Ferry Heritage Special,عرض التراث البحري,Buy 4 historic canal channel cruise tickets and get the 5th family ticket completely free.,اشترِ 4 تذاكر للجولة البحرية التاريخية في القناة واحصل على التذكرة العائلية الخامسة مجاناً بالكامل.,Family members must present matching IDs at the cruise boarding gate.,يجب على أفراد العائلة تقديم بطاقات هوية متطابقة عند بوابة صعود المركب.,,100%,15/05/2026,15/12/2026,300,FAMILY5
OFFER-177,Marsa Alam Diving Safari,Samadai Dolphin House Excursion,رحلة بيت الدلافين بصمداي,Book two Samadai dolphin house snorkeling boat trips together and get the third trip at exactly 50% off.,احصل على رحلة السنوركلينج الثالثة بخصم 50% عند حجز رحلتين لبيت الدلافين بصمداي معاً.,Must be booked under the same reservation transaction code.,يجب أن يتم الحجز تحت نفس كود معاملة الحجز.,,50%,15/05/2026,15/11/2026,250,SAMADAI50
OFFER-180,Stereo Restaurant & Café,International Happy Hour,ساعة سعيدة دولية,Enjoy 15% off all appetizers and desserts every Monday–Wednesday (5:00–7:00pm).,استمتع بخصم 15% على جميع المقبلات والحلويات كل اثنين إلى أربعاء (5:00–7:00م).,Valid dine-in only during listed hours; not combinable with other offers.,ساري داخل المطعم فقط خلال الأوقات المحددة؛ لا يمكن دمجه مع عروض أخرى.,,15%,01/05/2026,30/09/2026,200,STEREO15
OFFER-181,Stereo Restaurant & Café,Stereo Family Combo,عرض عائلي ستيريو,Buy one adult entrée and get one child's meal free every Sunday.,احصل على وجبة أطفال مجانية عند طلب وجبة للكبار كل يوم أحد.,One free child meal per paying adult; Sundays only.,وجبة أطفال مجانية واحدة لكل وجبة للكبار؛ أيام الأحد فقط.,,50%,01/05/2026,30/09/2026,150,STEREO50
OFFER-184,Seliyaa Hotel,Siwa Getaway Deal,عرض صفوة سيوة,Book a 3+ night stay at Seliyaa Hotel and get 15% off the total room rate.,احجز إقامة 3 ليالٍ أو أكثر في فندق سيليا واحصل على خصم 15% على إجمالي سعر الغرف.,Minimum 3-night stay required; valid for new bookings only.,الإقامة لا تقل عن 3 ليالٍ؛ العرض ساري للحجوزات الجديدة فقط.,,15%,01/05/2026,31/08/2026,100,SELYAA15
OFFER-186,Mimi El Khan,Family Feast,عرض عيد العائلة,Order any family meal combo and get 10% off the total bill.,اطلب أي وجبة عائلية واحصل على خصم 10% على المبلغ الإجمالي.,Not valid with other combo offers; dine-in only.,غير سارٍ مع العروض المجمعّة الأخرى؛ داخل المطعم فقط.,,10%,01/05/2026,30/09/2026,100,FAMILY10
OFFER-188,Corallo Sea Food Almaza Bay,Seafood Platter Discount,عرض وجبة بحرية,"Get 10% off any large seafood platter, all week long.",احصل على خصم 10% على أي صينية مأكولات بحرية كبيرة طوال أيام الأسبوع.,Valid on seafood platters only; dine-in only.,ساري على صواني المأكولات البحرية فقط؛ داخل المطعم فقط.,,10%,01/05/2026,30/09/2026,150,SEAFOOD10
